#,Pattern,,Time (msec),,,,,Cumulative
,,,Absolute,vs. best,vs. mean,vs. median,,
129,[62] N1 S4 S5 N5 N2 N1 S8,0,940.3,13.73333333,-4.565893571,-3.633333333,0.0005,0.311574219
130,[10] N1 S4 S5 N2 S1,3,940.3333333,13.76666667,-4.532560237,-3.6,0.003375,0.314949219
131,[63] N1 S8 N4 S2 N3 S3,0,940.3666667,13.8,-4.499226904,-3.566666667,0.0005,0.315449219
132,[20] N1 S1 S2 N4 S1,2,940.4,13.83333333,-4.465893571,-3.533333333,0.0016875,0.317136719
133,[64] N1 N2 S1 S2 N4 S1,0,940.4333333,13.86666667,-4.432560237,-3.5,0.0000625,0.317199219
134,[65] N1 S1 N2 N5 S5 N2 S1,0,940.4666667,13.9,-4.399226904,-3.466666667,0.000015625,0.317214844
135,[66] N1 S1 N2 S5 N5 N2 S1,0,940.4666667,13.9,-4.399226904,-3.466666667,0.00003125,0.317246094
136,[67] N1 N2 S1 N4 S2 S1,0,940.4666667,13.9,-4.399226904,-3.466666667,0.000125,0.317371094
137,[40] N1 S1 N2 N5 N3 S2 S1,1,940.4666667,13.9,-4.399226904,-3.466666667,0.00028125,0.317652344
138,[11] N1 S1 N2 S5 S6,3,940.4666667,13.9,-4.399226904,-3.466666667,0.00084375,0.318496094
139,[68] N1 N2 S5 N5 N3 S2 S1,0,940.5333333,13.96666667,-4.332560237,-3.4,0.0000625,0.318558594
140,[41] N1 S1 S2 N3 N5 N2 S1,1,940.5333333,13.96666667,-4.332560237,-3.4,0.00028125,0.318839844
141,[42] N1 S4 S5 N5 N2 S5,1,940.5333333,13.96666667,-4.332560237,-3.4,0.0045,0.323339844
142,[69] N1 S1 N2 S5 N5 N3 S2,0,940.6666667,14.1,-4.199226904,-3.266666667,0.000015625,0.323355469
143,[43] N1 S4 S5 N2 N5 S5,1,940.6666667,14.1,-4.199226904,-3.266666667,0.001125,0.324480469
144,[21] N1 N2 S1 S2 N3 S3,2,940.6666667,14.1,-4.199226904,-3.266666667,0.00084375,0.325324219
145,[70] N1 S8 N4 S2 N3 S7,0,940.7,14.13333333,-4.165893571,-3.233333333,0.001,0.326324219
146,[44] N1 S1 S2 N4 N6 S3,1,940.7333333,14.16666667,-4.132560237,-3.2,0.00225,0.328574219
147,[22] N1 S8 N4 S1 N1 S8,2,940.7666667,14.2,-4.099226904,-3.166666667,0.003375,0.331949219
148,[71] N1 N2 S1 N1 N2 S5 S4,0,940.8333333,14.26666667,-4.032560237,-3.1,0.0000625,0.332011719
149,[23] N1 N2 S5 S4 N1 S8,2,940.8333333,14.26666667,-4.032560237,-3.1,0.00675,0.338761719
150,[72] N1 S1 N2 N1 S1 N2 N1 S1,0,940.9333333,14.36666667,-3.932560237,-3,0.000015625,0.338777344
151,[24] N1 S8 N4 S2 S3,2,940.9333333,14.36666667,-3.932560237,-3,0.00675,0.345527344
152,[25] N1 S4 S5 N2 N1 S8,2,940.9333333,14.36666667,-3.932560237,-3,0.003375,0.348902344
153,[12] N1 S1 S2 N4 S8,3,940.9333333,14.36666667,-3.932560237,-3,0.00084375,0.349746094
154,[73] N1 N2 N5 N3 S2 S1 N1 S8,0,940.9666667,14.4,-3.899226904,-2.966666667,0.000015625,0.349761719
