#,Pattern,,Time (msec),,,,,Cumulative
,,,Absolute,vs. best,vs. mean,vs. median,,
2429,[532] N1 N2 N5 N3 S7 N5 N2 S1 N1 N2 S1,3,971.9,45.33333333,27.03410643,27.96666667,1.64795E-06,0.994828278
2430,[533] N1 N2 S1 N1 N2 N5 N3 S7 N5 N2 S1,3,971.9,45.33333333,27.03410643,27.96666667,1.64795E-06,0.994829926
2431,[534] N1 N2 S1 N1 N2 N5 S7 N3 N5 N2 S1,3,971.9,45.33333333,27.03410643,27.96666667,4.11987E-07,0.994830338
2432,[535] N1 N2 S1 N1 N2 N5 N3 S7 N5 N3 S2,3,971.9,45.33333333,27.03410643,27.96666667,8.23975E-07,0.994831161
2433,[576] N1 N2 N5 N3 S3 N6 N4 S1 N2 S5,2,971.9333333,45.36666667,27.06743976,28,2.63672E-05,0.994857529
2434,[577] N1 N2 N5 N3 S3 S2 N3 N5 N2 N1 S1,2,971.9666667,45.4,27.1007731,28.03333333,6.5918E-06,0.99486412
2435,[687] N1 N2 N5 S7 N3 N5 N2 S5 N5 N2 N1 S4,0,972,45.43333333,27.13410643,28.06666667,2.44141E-07,0.994864365
2436,[688] N1 N2 N5 N3 S7 N5 N2 S5 N5 N2 N1 S4,0,972.0333333,45.46666667,27.16743976,28.1,9.76563E-07,0.994865341
2437,[689] N1 N2 N5 S5 N2 N5 N3 S7 N5 N2 N1 S4,0,972.0333333,45.46666667,27.16743976,28.1,4.88281E-07,0.994865829
2438,[690] N1 N2 N5 S5 N2 N5 S7 N3 N5 N2 N1 S4,0,972.0333333,45.46666667,27.16743976,28.1,1.2207E-07,0.994865952
2439,[578] N1 N2 N5 N3 S2 S3 N3 N5 N2 N1 S1,2,972.0666667,45.5,27.2007731,28.13333333,3.2959E-06,0.994869247
2440,[536] N1 N2 N5 N3 S7 N5 N3 S3 S2,3,972.0666667,45.5,27.2007731,28.13333333,1.31836E-05,0.994882431
2441,[691] N1 N2 N5 N3 S3 N6 N4 S8 N1 N2 N5 S5,0,972.1333333,45.56666667,27.26743976,28.2,4.88281E-07,0.994882919
2442,[692] N1 N2 N5 N3 S2 N4 S1 N2 N5 N3 S7,0,972.1666667,45.6,27.3007731,28.23333333,4.88281E-07,0.994883408
2443,[637] N1 N2 N5 N3 S3 N7 S7 N5 N2 N1 S4,1,972.1666667,45.6,27.3007731,28.23333333,3.51563E-05,0.994918564
2444,[638] N1 N2 N5 S7 N7 S3 N3 N5 N2 N1 S4,1,972.1666667,45.6,27.3007731,28.23333333,8.78906E-06,0.994927353
2445,[537] N1 N2 N5 S7 N3 S3 N6 N4 S1,3,972.1666667,45.6,27.3007731,28.23333333,5.27344E-05,0.994980087
2446,[538] N1 N2 N5 N3 S3 N6 N4 S1 N1 S4,3,972.1666667,45.6,27.3007731,28.23333333,5.27344E-05,0.995032822
2447,[693] N1 N2 N5 S5 N2 N5 N3 S3 N6 N4 S1,0,972.2,45.63333333,27.33410643,28.26666667,9.76563E-07,0.995033798
2448,[579] N1 N2 N5 N3 S7 N7 S3 N3 S7,2,972.2,45.63333333,27.33410643,28.26666667,0.000210938,0.995244736
2449,[580] N1 N2 S1 N1 N2 N5 N3 S3 N6 N4 S8,2,972.2,45.63333333,27.33410643,28.26666667,3.2959E-06,0.995248032
2450,[539] N1 S1 N4 N6 S3 N3 N5 N2 N1 S4,3,972.2,45.63333333,27.33410643,28.26666667,0.000105469,0.9953535
2451,[639] N1 N2 N5 N3 S7 N7 S3 N6 N4 S1,1,972.2333333,45.66666667,27.36743976,28.3,0.000140625,0.995494125
2452,[640] N1 N2 N5 S7 N3 N5 N2 N1 S8 N4 S1,1,972.2333333,45.66666667,27.36743976,28.3,4.39453E-06,0.99549852
2453,[694] N1 N2 N5 N3 S2 N4 S1 N2 N5 N3 S3,0,972.2666667,45.7,27.4007731,28.33333333,2.44141E-07,0.995498764
2454,[641] N1 N2 N5 N3 S7 N5 N2 N1 S8 N4 S1,1,972.2666667,45.7,27.4007731,28.33333333,1.75781E-05,0.995516342
2455,[581] N1 N2 N5 N3 S3 N7 S7 N3 S3,2,972.3333333,45.76666667,27.46743976,28.4,0.000210938,0.99572728
2456,[540] N1 N2 S1 N1 N2 N5 S5 N2 N5 N3 S7,3,972.3333333,45.76666667,27.46743976,28.4,8.23975E-07,0.995728104
2457,[642] N1 N2 N5 N3 S3 N6 N4 S1 N2 N1 S4,1,972.4,45.83333333,27.53410643,28.46666667,1.75781E-05,0.995745682
2458,[643] N1 N2 S1 N4 N6 S3 N3 N5 N2 N1 S4,1,972.4333333,45.86666667,27.56743976,28.5,3.51563E-05,0.995780838
2459,[582] N1 N2 N5 N3 S2 N4 S8 N1 N2 N5 N3 S2,2,972.4333333,45.86666667,27.56743976,28.5,1.64795E-06,0.995782486
2460,[583] N1 N2 N5 S7 N3 N5 N2 S5 N5 N2 S1,2,972.4333333,45.86666667,27.56743976,28.5,1.64795E-06,0.995784134
2461,[584] N1 N2 N5 S5 N2 N5 N3 S7 N5 N3 S2,2,972.4333333,45.86666667,27.56743976,28.5,1.64795E-06,0.995785782
2462,[541] N1 N2 S1 N1 N2 N5 S5 N2 N5 N3 S3,3,972.4333333,45.86666667,27.56743976,28.5,4.11987E-07,0.995786194
2463,[585] N1 N2 N5 N3 S7 N5 N2 S5 N5 N2 S1,2,972.4666667,45.9,27.6007731,28.53333333,6.5918E-06,0.995792786
2464,[586] N1 N2 N5 S5 N2 N5 N3 S7 N5 N2 S1,2,972.4666667,45.9,27.6007731,28.53333333,3.2959E-06,0.995796082
2465,[587] N1 N2 N5 S5 N2 N5 S7 N3 N5 N2 S1,2,972.4666667,45.9,27.6007731,28.53333333,8.23975E-07,0.995796906
2466,[588] N1 N2 N5 N3 S7 N5 S5 N2 N5 N3 S2,2,972.5,45.93333333,27.63410643,28.56666667,3.2959E-06,0.995800201
2467,[589] N1 N2 N5 N3 S3 N6 N4 S2 N3 S3,2,972.5333333,45.96666667,27.66743976,28.6,2.63672E-05,0.995826569
2468,[590] N1 N2 N5 N3 S3 S2 N3 N5 N2 N1 S4,2,972.5333333,45.96666667,27.66743976,28.6,1.31836E-05,0.995839752
2469,[591] N1 N2 S1 N1 N2 N5 S7 N3 N5 N2 N1 S8,2,972.5333333,45.96666667,27.66743976,28.6,4.11987E-07,0.995840164
2470,[644] N1 N2 S1 N1 N2 N5 N3 S7 N5 N3 S7,1,972.5666667,46,27.7007731,28.63333333,2.19727E-06,0.995842361
2471,[592] N1 N2 N5 S7 N3 N5 N2 N1 S1 N2 N1 S8,2,972.5666667,46,27.7007731,28.63333333,8.23975E-07,0.995843185
2472,[593] N1 N2 S1 N1 N2 N5 N3 S7 N5 N2 N1 S8,2,972.5666667,46,27.7007731,28.63333333,1.64795E-06,0.995844833
2473,[542] N1 N2 N5 S7 N7 S3 N3 N5 N2 S1,3,972.5666667,46,27.7007731,28.63333333,6.5918E-06,0.995851425
2474,[543] N1 N2 N5 N3 S3 N7 S7 N5 N3 S2,3,972.5666667,46,27.7007731,28.63333333,1.31836E-05,0.995864609
2475,[594] N1 N2 N5 N3 S2 S3 N3 N5 N2 N1 S4,2,972.6,46.03333333,27.73410643,28.66666667,6.5918E-06,0.995871201
2476,[595] N1 N2 N5 N3 S7 N5 N2 N1 S1 N2 N1 S8,2,972.6,46.03333333,27.73410643,28.66666667,3.2959E-06,0.995874496
2477,[544] N1 N2 N5 N3 S3 N7 S7 N5 N2 S1,3,972.6,46.03333333,27.73410643,28.66666667,2.63672E-05,0.995900864
2478,[596] N1 N2 N5 S7 N3 N5 N2 S5 N5 N3 S2,2,972.6333333,46.06666667,27.76743976,28.7,8.23975E-07,0.995901688
2479,[597] N1 N2 N5 S7 N3 N5 S5 N2 N5 N3 S2,2,972.6333333,46.06666667,27.76743976,28.7,8.23975E-07,0.995902512
2480,[695] N1 N2 N5 S7 N3 N5 S7 N3 N5 N2 S1,0,972.6666667,46.1,27.8007731,28.73333333,1.2207E-07,0.995902634
2481,[645] N1 N2 N5 S7 N3 N5 N2 S1 N1 N2 N5 S5,1,972.6666667,46.1,27.8007731,28.73333333,1.37329E-07,0.995902771
2482,[646] N1 N2 N5 N3 S3 N7 S7 N3 N5 S5,1,972.6666667,46.1,27.8007731,28.73333333,1.75781E-05,0.995920349
2483,[647] N1 N2 N5 N3 S7 N7 S3 N3 N5 S5,1,972.6666667,46.1,27.8007731,28.73333333,1.75781E-05,0.995937927
2484,[648] N1 N2 S1 N1 N2 N5 N3 S7 N5 N3 S3,1,972.6666667,46.1,27.8007731,28.73333333,1.09863E-06,0.995939026
2485,[598] N1 N2 N5 N3 S7 N5 N2 S5 N5 N3 S2,2,972.6666667,46.1,27.8007731,28.73333333,3.2959E-06,0.995942322
2486,[696] N1 N2 N5 S7 N3 N5 N2 N1 S8 N4 N6 S3,0,972.7,46.13333333,27.83410643,28.76666667,1.95313E-06,0.995944275
2487,[649] N1 N2 N5 N3 S7 N5 N2 S1 N1 N2 N5 S5,1,972.7,46.13333333,27.83410643,28.76666667,5.49316E-07,0.995944824
2488,[697] N1 N2 N5 N3 S7 N5 N3 S7 N5 N2 S1,0,972.7333333,46.16666667,27.86743976,28.8,9.76563E-07,0.995945801
2489,[698] N1 N2 N5 N3 S7 N5 N3 S7 N5 N3 S2,0,972.7333333,46.16666667,27.86743976,28.8,4.88281E-07,0.995946289
2490,[699] N1 N2 N5 N3 S7 N5 N2 N1 S8 N4 N6 S3,0,972.7333333,46.16666667,27.86743976,28.8,7.8125E-06,0.995954102
2491,[650] N1 N2 N5 S7 N3 N5 N2 N1 S1 N2 N5 S5,1,972.7333333,46.16666667,27.86743976,28.8,2.74658E-07,0.995954376
2492,[545] N1 N2 S5 N5 N2 S1 N1 N2 N5 N3 S7,3,972.7333333,46.16666667,27.86743976,28.8,3.2959E-06,0.995957672
2493,[651] N1 N2 N5 N3 S7 N5 N2 N1 S1 N2 N5 S5,1,972.7666667,46.2,27.9007731,28.83333333,1.09863E-06,0.995958771
2494,[652] N1 N2 N5 S5 N2 N5 N3 S3 N6 N4 S8,1,972.7666667,46.2,27.9007731,28.83333333,2.19727E-06,0.995960968
2495,[700] N1 N2 N5 N3 S3 N6 N4 S8 N1 N2 N5 S7,0,972.8,46.23333333,27.93410643,28.86666667,4.88281E-07,0.995961456
2496,[653] N1 N2 N5 N3 S2 N4 S1 N1 N2 N5 N3 S2,1,972.8,46.23333333,27.93410643,28.86666667,5.49316E-07,0.995962006
2497,[599] N1 N2 N5 N3 S7 N7 S3 N6 N4 S8,2,972.8,46.23333333,27.93410643,28.86666667,0.000105469,0.996067474
2498,[546] N1 N2 S5 N5 N2 N1 S1 N2 N5 N3 S7,3,972.8,46.23333333,27.93410643,28.86666667,6.5918E-06,0.996074066
2499,[547] N1 N2 S1 N4 N6 S3 N3 N5 N2 S1,3,972.8333333,46.26666667,27.96743976,28.9,2.63672E-05,0.996100433
2500,[548] N1 N2 N5 S5 N2 N1 S1 N2 N5 N3 S7,3,972.8333333,46.26666667,27.96743976,28.9,1.64795E-06,0.996102081
2501,[549] N1 N2 N5 S5 N2 S1 N1 N2 N5 N3 S7,3,972.8333333,46.26666667,27.96743976,28.9,8.23975E-07,0.996102905
2502,[550] N1 N2 S5 N5 N2 S1 N1 N2 N5 N3 S3,3,972.8333333,46.26666667,27.96743976,28.9,1.64795E-06,0.996104553
2503,[600] N1 N2 N5 N3 S3 N6 N4 S2 N3 S7,2,972.8666667,46.3,28.0007731,28.93333333,5.27344E-05,0.996157288
2504,[601] N1 N2 N5 N3 S3 N6 N4 S8 N1 N2 S5,2,972.8666667,46.3,28.0007731,28.93333333,2.63672E-05,0.996183655
2505,[602] N1 N2 N5 S5 N2 N5 S5 N2 N5 N3 S7,2,972.9,46.33333333,28.03410643,28.96666667,1.64795E-06,0.996185303
2506,[551] N1 N2 S5 N5 N2 N1 S1 N2 N5 N3 S3,3,972.9,46.33333333,28.03410643,28.96666667,3.2959E-06,0.996188599
2507,[552] N1 N2 N5 S5 N2 N5 N3 S3 N7 S7,3,972.9,46.33333333,28.03410643,28.96666667,1.31836E-05,0.996201782
2508,[553] N1 N2 N5 S5 N2 N1 S1 N2 N5 N3 S3,3,972.9333333,46.36666667,28.06743976,29,8.23975E-07,0.996202606
2509,[554] N1 N2 N5 S5 N2 S1 N1 N2 N5 N3 S3,3,972.9333333,46.36666667,28.06743976,29,4.11987E-07,0.996203018
2510,[555] N1 N2 N5 S5 N2 N5 N3 S7 N7 S3,3,972.9333333,46.36666667,28.06743976,29,1.31836E-05,0.996216202
2511,[603] N1 N2 N5 N3 S2 N4 N6 S3 N3 S7,2,972.9666667,46.4,28.1007731,29.03333333,5.27344E-05,0.996268936
2512,[604] N1 N2 N5 S7 N3 N5 N2 S1 N4 S2,2,972.9666667,46.4,28.1007731,29.03333333,6.5918E-06,0.996275528
2513,[605] N1 N2 N5 N3 S7 N5 N2 S1 N4 S2,2,973,46.43333333,28.13410643,29.06666667,2.63672E-05,0.996301895
2514,[606] N1 N2 N5 S5 N2 N5 S5 N2 N5 N3 S3,2,973,46.43333333,28.13410643,29.06666667,8.23975E-07,0.996302719
2515,[556] N1 N2 S1 N1 N2 N5 N3 S7 N5 N2 S5,3,973,46.43333333,28.13410643,29.06666667,1.64795E-06,0.996304367
2516,[557] N1 N2 S1 N1 N2 N5 S7 N3 N5 N2 S5,3,973,46.43333333,28.13410643,29.06666667,4.11987E-07,0.996304779
2517,[654] N1 N2 N5 S7 N3 N5 N2 S5 N5 N2 N1 S8,1,973.0666667,46.5,28.2007731,29.13333333,5.49316E-07,0.996305328
2518,[655] N1 N2 N5 N3 S7 N5 N2 S5 N5 N2 N1 S8,1,973.1,46.53333333,28.23410643,29.16666667,2.19727E-06,0.996307526
2519,[656] N1 N2 N5 S5 N2 N5 N3 S7 N5 N2 N1 S8,1,973.1,46.53333333,28.23410643,29.16666667,1.09863E-06,0.996308624
2520,[657] N1 N2 N5 S5 N2 N5 S7 N3 N5 N2 N1 S8,1,973.1,46.53333333,28.23410643,29.16666667,2.74658E-07,0.996308899
2521,[701] N1 N2 N5 N3 S2 N4 S8 N1 N2 N5 N3 S7,0,973.1333333,46.56666667,28.26743976,29.2,4.88281E-07,0.996309387
2522,[702] N1 N2 N5 S5 N2 N5 N3 S7 N5 N3 S7,0,973.1333333,46.56666667,28.26743976,29.2,4.88281E-07,0.996309875
2523,[658] N1 N2 N5 N3 S3 N7 S7 N3 N5 S7,1,973.1333333,46.56666667,28.26743976,29.2,1.75781E-05,0.996327454
2524,[659] N1 N2 N5 N3 S7 N5 N3 S3 N7 S7,1,973.1333333,46.56666667,28.26743976,29.2,3.51563E-05,0.99636261
2525,[660] N1 N2 N5 N3 S7 N7 S3 N3 N5 S7,1,973.1666667,46.6,28.3007731,29.23333333,1.75781E-05,0.996380188
2526,[661] N1 N2 N5 S7 N3 N5 N2 N1 S1 N4 S8,1,973.1666667,46.6,28.3007731,29.23333333,2.19727E-06,0.996382385
2527,[703] N1 N2 N5 N3 S7 N5 S5 N2 N5 N3 S7,0,973.2,46.63333333,28.33410643,29.26666667,9.76563E-07,0.996383362
2528,[662] N1 N2 N5 N3 S3 N6 N4 S1 N1 N2 S5,1,973.2,46.63333333,28.33410643,29.26666667,1.75781E-05,0.99640094
2529,[663] N1 N2 N5 N3 S7 N5 N2 N1 S1 N4 S8,1,973.2,46.63333333,28.33410643,29.26666667,8.78906E-06,0.996409729
2530,[664] N1 N2 N5 N3 S7 N5 N3 S7 N7 S3,1,973.2,46.63333333,28.33410643,29.26666667,3.51563E-05,0.996444885
2531,[558] N1 N2 N5 S7 N3 N5 S7 N3 S3,3,973.2,46.63333333,28.33410643,29.26666667,6.5918E-06,0.996451477
2532,[704] N1 N2 N5 N3 S2 N4 S8 N1 N2 N5 N3 S3,0,973.2333333,46.66666667,28.36743976,29.3,2.44141E-07,0.996451721
2533,[705] N1 N2 N5 S5 N2 N5 N3 S7 N5 N3 S3,0,973.2333333,46.66666667,28.36743976,29.3,2.44141E-07,0.996451965
2534,[607] N1 N2 N5 N3 S3 N7 S7 N5 N2 N1 S8,2,973.2333333,46.66666667,28.36743976,29.3,2.63672E-05,0.996478333
2535,[608] N1 N2 N5 S7 N7 S3 N3 N5 N2 N1 S8,2,973.2333333,46.66666667,28.36743976,29.3,6.5918E-06,0.996484924
2536,[609] N1 N2 S1 N1 N2 N5 N3 S3 N6 N4 S2,2,973.2333333,46.66666667,28.36743976,29.3,3.2959E-06,0.99648822
2537,[665] N1 N2 N5 N3 S3 N7 S7 N5 N3 S7,1,973.2666667,46.7,28.4007731,29.33333333,3.51563E-05,0.996523376
2538,[706] N1 N2 N5 N3 S7 N5 S5 N2 N5 N3 S3,0,973.3,46.73333333,28.43410643,29.36666667,4.88281E-07,0.996523865
2539,[666] N1 N2 N5 N3 S3 N6 N4 S2 N3 N5 S5,1,973.3,46.73333333,28.43410643,29.36666667,4.39453E-06,0.996528259
2540,[707] N1 N2 N5 S7 N3 N5 N2 S5 N5 N3 S7,0,973.3333333,46.76666667,28.46743976,29.4,2.44141E-07,0.996528503
2541,[708] N1 N2 N5 S7 N3 N5 S5 N2 N5 N3 S7,0,973.3333333,46.76666667,28.46743976,29.4,2.44141E-07,0.996528748
2542,[709] N1 N2 N5 N3 S7 N5 N2 S5 N5 N3 S7,0,973.3666667,46.8,28.5007731,29.43333333,9.76563E-07,0.996529724
2543,[667] N1 N2 N5 S7 N3 N5 N2 S1 N1 N2 N5 S7,1,973.3666667,46.8,28.5007731,29.43333333,1.37329E-07,0.996529861
2544,[668] N1 N2 N5 N3 S3 N7 S7 N5 N3 S3,1,973.3666667,46.8,28.5007731,29.43333333,1.75781E-05,0.99654744
2545,[669] N1 N2 N5 N3 S2 N4 N6 S3 N3 N5 S5,1,973.4,46.83333333,28.53410643,29.46666667,4.39453E-06,0.996551834
2546,[670] N1 N2 N5 N3 S7 N5 N2 S1 N1 N2 N5 S7,1,973.4,46.83333333,28.53410643,29.46666667,5.49316E-07,0.996552383
2547,[559] N1 N2 N5 S7 N3 N5 N2 S1 N1 N2 S5,3,973.4,46.83333333,28.53410643,29.46666667,8.23975E-07,0.996553207
2548,[710] N1 N2 N5 S7 N3 N5 N2 S5 N5 N3 S3,0,973.4333333,46.86666667,28.56743976,29.5,1.2207E-07,0.996553329
2549,[711] N1 N2 N5 S7 N3 N5 S5 N2 N5 N3 S3,0,973.4333333,46.86666667,28.56743976,29.5,1.2207E-07,0.996553452
2550,[671] N1 N2 N5 S7 N3 N5 N2 N1 S1 N2 N5 S7,1,973.4333333,46.86666667,28.56743976,29.5,2.74658E-07,0.996553726
2551,[610] N1 N2 N5 N3 S7 N5 N3 S7 N5 S5,2,973.4333333,46.86666667,28.56743976,29.5,1.31836E-05,0.99656691
2552,[611] N1 N2 N5 S7 N3 N5 N2 N1 S1 N2 N1 S1,2,973.4333333,46.86666667,28.56743976,29.5,8.23975E-07,0.996567734
2553,[612] N1 N2 S1 N1 N2 N5 N3 S7 N5 N2 N1 S1,2,973.4333333,46.86666667,28.56743976,29.5,1.64795E-06,0.996569382
2554,[613] N1 N2 S1 N1 N2 N5 S7 N3 N5 N2 N1 S1,2,973.4333333,46.86666667,28.56743976,29.5,4.11987E-07,0.996569794
2555,[560] N1 N2 N5 N3 S7 N5 N2 S1 N1 N2 S5,3,973.4333333,46.86666667,28.56743976,29.5,3.2959E-06,0.99657309
2556,[712] N1 N2 N5 N3 S7 N5 N2 S5 N5 N3 S3,0,973.4666667,46.9,28.6007731,29.53333333,4.88281E-07,0.996573578
2557,[672] N1 N2 N5 N3 S7 N5 N2 N1 S1 N2 N5 S7,1,973.4666667,46.9,28.6007731,29.53333333,1.09863E-06,0.996574677
2558,[614] N1 N2 N5 N3 S7 N5 N3 S2 N4 S1,2,973.4666667,46.9,28.6007731,29.53333333,6.5918E-06,0.996581268
2559,[615] N1 N2 N5 N3 S3 N6 N4 S1 N2 N1 S8,2,973.4666667,46.9,28.6007731,29.53333333,1.31836E-05,0.996594452
2560,[616] N1 N2 N5 N3 S7 N5 N2 N1 S1 N2 N1 S1,2,973.4666667,46.9,28.6007731,29.53333333,3.2959E-06,0.996597748
2561,[561] N1 N2 N5 N3 S2 N4 S1 N1 N2 N5 S5,3,973.4666667,46.9,28.6007731,29.53333333,8.23975E-07,0.996598572
2562,[617] N1 N2 S1 N4 N6 S3 N3 N5 N2 N1 S8,2,973.5,46.93333333,28.63410643,29.56666667,2.63672E-05,0.996624939
2563,[562] N1 N2 N5 S7 N3 N5 N2 N1 S1 N2 S5,3,973.5,46.93333333,28.63410643,29.56666667,8.23975E-07,0.996625763
2564,[618] N1 N2 N5 S7 N3 N5 S7 N3 N5 S5,2,973.5333333,46.96666667,28.66743976,29.6,1.64795E-06,0.996627411
2565,[619] N1 N2 N5 S7 N3 N5 N2 S5 N5 N2 S5,2,973.5333333,46.96666667,28.66743976,29.6,1.64795E-06,0.996629059
2566,[563] N1 N2 N5 S5 N2 N5 N3 S2 N4 N6 S3,3,973.5333333,46.96666667,28.66743976,29.6,3.2959E-06,0.996632355
2567,[564] N1 N2 N5 N3 S7 N5 N2 N1 S1 N2 S5,3,973.5333333,46.96666667,28.66743976,29.6,3.2959E-06,0.996635651
2568,[620] N1 N2 N5 N3 S7 N5 N2 S5 N5 N2 S5,2,973.5666667,47,28.7007731,29.63333333,6.5918E-06,0.996642242
2569,[621] N1 N2 N5 S5 N2 N5 N3 S7 N5 N2 S5,2,973.5666667,47,28.7007731,29.63333333,3.2959E-06,0.996645538
2570,[622] N1 N2 N5 S5 N2 N5 S7 N3 N5 N2 S5,2,973.6,47.03333333,28.73410643,29.66666667,8.23975E-07,0.996646362
2571,[565] N1 N2 N5 N3 S3 S2 N3 N5 N2 N1 S8,3,973.6,47.03333333,28.73410643,29.66666667,3.2959E-06,0.996649658
2572,[673] N1 N2 N5 N3 S3 N6 N4 S1 N2 N5 S5,1,973.6333333,47.06666667,28.76743976,29.7,4.39453E-06,0.996654053
2573,[566] N1 N2 N5 N3 S2 S3 N3 N5 N2 N1 S8,3,973.7,47.13333333,28.83410643,29.76666667,1.64795E-06,0.996655701
2574,[567] N1 N2 N5 N3 S3 N7 S7 N5 N2 S5,3,973.7,47.13333333,28.83410643,29.76666667,2.63672E-05,0.996682068
2575,[568] N1 N2 N5 S7 N7 S3 N3 N5 N2 S5,3,973.7,47.13333333,28.83410643,29.76666667,6.5918E-06,0.99668866
2576,[713] N1 N2 N5 S7 N3 N5 S7 N3 N5 N2 S5,0,973.7666667,47.2,28.9007731,29.83333333,1.2207E-07,0.996688782
2577,[674] N1 N2 N5 N3 S3 N6 N4 S2 N3 N5 S7,1,973.8,47.23333333,28.93410643,29.86666667,4.39453E-06,0.996693176
2578,[675] N1 N2 N5 N3 S7 N5 N3 S2 N4 N6 S3,1,973.8,47.23333333,28.93410643,29.86666667,8.78906E-06,0.996701965
2579,[676] N1 N2 N5 S5 N2 N5 N3 S3 N6 N4 S2,1,973.8,47.23333333,28.93410643,29.86666667,2.19727E-06,0.996704163
2580,[714] N1 N2 N5 N3 S7 N5 N3 S7 N5 N2 S5,0,973.8333333,47.26666667,28.96743976,29.9,9.76563E-07,0.996705139
2581,[623] N1 N2 N5 N3 S7 N7 S3 N6 N4 S2,2,973.8333333,47.26666667,28.96743976,29.9,0.000105469,0.996810608
2582,[569] N1 N2 N5 N3 S3 N6 N4 S8 N1 N2 S1,3,973.8333333,47.26666667,28.96743976,29.9,6.5918E-06,0.9968172
2583,[677] N1 N2 N5 N3 S2 N4 N6 S3 N3 N5 S7,1,973.9,47.33333333,29.03410643,29.96666667,4.39453E-06,0.996821594
2584,[624] N1 N2 N5 S7 N3 N5 N2 N1 S8 N4 S2,2,973.9333333,47.36666667,29.06743976,30,6.5918E-06,0.996828186
2585,[678] N1 N2 N5 S5 N2 N5 N3 S7 N5 N2 N1 S1,1,973.9666667,47.4,29.1007731,30.03333333,1.09863E-06,0.996829285
2586,[679] N1 N2 N5 S5 N2 N5 S7 N3 N5 N2 N1 S1,1,973.9666667,47.4,29.1007731,30.03333333,2.74658E-07,0.996829559
2587,[680] N1 N2 N5 S7 N3 N5 N2 S5 N5 N2 N1 S1,1,973.9666667,47.4,29.1007731,30.03333333,5.49316E-07,0.996830109
2588,[625] N1 N2 N5 N3 S7 N5 N2 N1 S8 N4 S2,2,973.9666667,47.4,29.1007731,30.03333333,2.63672E-05,0.996856476
2589,[626] N1 N2 S1 N1 N2 N5 N3 S7 N5 N2 N1 S4,2,973.9666667,47.4,29.1007731,30.03333333,3.2959E-06,0.996859772
2590,[627] N1 N2 S1 N1 N2 N5 S7 N3 N5 N2 N1 S4,2,973.9666667,47.4,29.1007731,30.03333333,8.23975E-07,0.996860596
2591,[570] N1 N2 N5 N3 S2 N4 S1 N2 N5 N3 S2,3,973.9666667,47.4,29.1007731,30.03333333,8.23975E-07,0.99686142
2592,[571] N1 N2 S1 N4 N6 S3 N3 N5 N2 S5,3,973.9666667,47.4,29.1007731,30.03333333,2.63672E-05,0.996887787
2593,[681] N1 N2 N5 N3 S7 N5 N2 S5 N5 N2 N1 S1,1,974,47.43333333,29.13410643,30.06666667,2.19727E-06,0.996889984
2594,[628] N1 N2 N5 S7 N3 N5 S7 N3 N5 S7,2,974,47.43333333,29.13410643,30.06666667,1.64795E-06,0.996891632
2595,[629] N1 N2 N5 S7 N3 N5 N2 N1 S1 N2 N1 S4,2,974,47.43333333,29.13410643,30.06666667,1.64795E-06,0.99689328
2596,[572] N1 N2 N5 N3 S7 N5 N3 S2 N4 S8,3,974,47.43333333,29.13410643,30.06666667,3.2959E-06,0.996896576
2597,[630] N1 N2 N5 N3 S7 N5 N2 N1 S1 N2 N1 S4,2,974.0333333,47.46666667,29.16743976,30.1,6.5918E-06,0.996903168
2598,[631] N1 N2 N5 S7 N7 S3 N3 N5 N2 N1 S1,2,974.1,47.53333333,29.23410643,30.16666667,6.5918E-06,0.99690976
2599,[632] N1 N2 N5 N3 S3 N7 S7 N5 N2 N1 S1,2,974.1333333,47.56666667,29.26743976,30.2,2.63672E-05,0.996936127
2600,[633] N1 N2 S1 N1 N2 N5 N3 S3 N6 N4 S1,2,974.1333333,47.56666667,29.26743976,30.2,6.5918E-06,0.996942719
2601,[634] N1 N2 N5 N3 S3 N6 N4 S1 N1 N2 S1,2,974.1666667,47.6,29.3007731,30.23333333,1.31836E-05,0.996955902
2602,[573] N1 N2 N5 N3 S2 N4 S1 N1 N2 N5 S7,3,974.1666667,47.6,29.3007731,30.23333333,8.23975E-07,0.996956726
2603,[682] N1 N2 N5 S7 N3 N5 N2 S1 N4 N6 S3,1,974.2,47.63333333,29.33410643,30.26666667,8.78906E-06,0.996965515
2604,[683] N1 N2 N5 N3 S7 N5 N2 S1 N4 N6 S3,1,974.2333333,47.66666667,29.36743976,30.3,3.51563E-05,0.997000671
2605,[715] N1 N2 N5 N3 S3 N7 S7 N3 N5 N2 S1,0,974.3,47.73333333,29.43410643,30.36666667,1.95313E-06,0.997002625
2606,[716] N1 N2 N5 N3 S7 N7 S3 N3 N5 N2 S1,0,974.3,47.73333333,29.43410643,30.36666667,1.95313E-06,0.997004578
2607,[574] N1 N2 N5 S7 N3 N5 N2 S1 N4 S8,3,974.3,47.73333333,29.43410643,30.36666667,3.2959E-06,0.997007874
2608,[684] N1 N2 N5 N3 S3 N6 N4 S1 N2 N5 S7,1,974.3333333,47.76666667,29.46743976,30.4,4.39453E-06,0.997012268
2609,[685] N1 N2 N5 S7 N3 N5 N2 N1 S1 N4 S2,1,974.3333333,47.76666667,29.46743976,30.4,2.19727E-06,0.997014465
2610,[635] N1 N2 N5 N3 S3 N6 N4 S1 N2 N1 S1,2,974.3333333,47.76666667,29.46743976,30.4,1.31836E-05,0.997027649
