#,Pattern,,Time (seconds),,,,Probability,Cumulative probability,Node map
,,,Absolute,vs. best,vs. mean,vs. median,,,
2321,[505] N1 N2 N5 N3 S2 N4 N6 S3 N7 S7,3,68.711,44.304,25.461,26.472,0.000105 ,0.993742 ,
2322,[655] N1 N2 N5 S5 N2 N5 N3 S3 N6 N4 S8,0,68.721,44.314,25.471,26.482,0.000000 ,0.993742 ,
2323,[506] N1 N2 N5 N3 S7 N5 S5 N2 N1 S4,3,68.725,44.318,25.475,26.486,0.000013 ,0.993798 ,
2323,[506] N1 N2 N5 S7 N3 N5 S5 N2 N1 S4,3,68.725,44.318,25.475,26.486,0.000003 ,0.993798 ,
2323,[506] N1 N2 S5 N5 N3 S7 N5 N2 N1 S4,3,68.725,44.318,25.475,26.486,0.000026 ,0.993798 ,
2323,[506] N1 N2 S5 N5 S7 N3 N5 N2 N1 S4,3,68.725,44.318,25.475,26.486,0.000013 ,0.993798 ,
2327,[510] N1 N2 N5 N3 S7 N5 N2 N1 S4 S5,3,68.755,44.348,25.505,26.516,0.000105 ,0.993930 ,
2327,[510] N1 N2 N5 S7 N3 N5 N2 N1 S4 S5,3,68.755,44.348,25.505,26.516,0.000026 ,0.993930 ,
2329,[606] N1 N2 N5 N3 S7 N7 S3 N6 N4 S8,1,68.762,44.355,25.512,26.523,0.000070 ,0.994001 ,
2330,[656] N1 N2 N5 N3 S3 N6 N4 S1 N2 N5 S5,0,68.824,44.417,25.574,26.585,0.000001 ,0.994001 ,
2331,[558] N1 N2 N5 N3 S2 S3 N3 N5 N2 N1 S8,2,68.861,44.454,25.611,26.622,0.000003 ,0.994011 ,
2331,[558] N1 N2 N5 N3 S3 S2 N3 N5 N2 N1 S8,2,68.861,44.454,25.611,26.622,0.000007 ,0.994011 ,
2333,[607] N1 N2 N5 N3 S3 N6 N4 S8 N1 N2 S5,1,68.865,44.458,25.615,26.626,0.000018 ,0.994029 ,
2334,[560] N1 N2 N5 S5 N2 N5 N3 S3 N7 S7,2,68.866,44.459,25.616,26.627,0.000026 ,0.994055 ,
2335,[512] N1 N2 N5 N3 S3 N6 N4 S1 N1 S8,3,68.877,44.47,25.627,26.638,0.000026 ,0.994134 ,
2335,[512] N1 S1 N4 N6 S3 N3 N5 N2 N1 S8,3,68.877,44.47,25.627,26.638,0.000053 ,0.994134 ,
2337,[608] N1 N2 N5 N3 S3 N7 S7 N5 N2 N1 S8,1,68.894,44.487,25.644,26.655,0.000018 ,0.994156 ,
2337,[608] N1 N2 N5 S7 N7 S3 N3 N5 N2 N1 S8,1,68.894,44.487,25.644,26.655,0.000004 ,0.994156 ,
2339,[657] N1 N2 S1 N1 N2 N5 N3 S7 N5 N3 S7,0,68.895,44.488,25.645,26.656,0.000000 ,0.994157 ,
2340,[561] N1 N2 N5 S5 N2 N5 N3 S2 N4 N6 S3,2,68.899,44.492,25.649,26.66,0.000007 ,0.994163 ,
2341,[658] N1 N2 S1 N1 N2 N5 N3 S7 N5 N3 S3,0,68.912,44.505,25.662,26.673,0.000000 ,0.994164 ,
2342,[659] N1 N2 N5 N3 S2 N4 N6 S3 N3 N5 S7,0,68.951,44.544,25.701,26.712,0.000001 ,0.994166 ,
2342,[659] N1 N2 N5 N3 S3 N6 N4 S2 N3 N5 S7,0,68.951,44.544,25.701,26.712,0.000001 ,0.994166 ,
2344,[514] N1 N2 N5 N3 S7 N5 N3 S7 S6,3,68.968,44.561,25.718,26.729,0.000053 ,0.994218 ,
2345,[562] N1 N2 N5 S7 N3 N5 S7 N3 S3,2,68.97,44.563,25.72,26.731,0.000013 ,0.994232 ,
2346,[515] N1 N2 N5 N3 S2 N4 S8 N1 N2 N5 S7,3,68.977,44.57,25.727,26.738,0.000002 ,0.994233 ,
2347,[661] N1 N2 N5 N3 S7 N5 N2 N1 S1 N2 N5 S7,0,69.012,44.605,25.762,26.773,0.000000 ,0.994234 ,
2347,[661] N1 N2 N5 N3 S7 N5 N2 S1 N1 N2 N5 S7,0,69.012,44.605,25.762,26.773,0.000000 ,0.994234 ,
2347,[661] N1 N2 N5 S7 N3 N5 N2 N1 S1 N2 N5 S7,0,69.012,44.605,25.762,26.773,0.000000 ,0.994234 ,
2347,[661] N1 N2 N5 S7 N3 N5 N2 S1 N1 N2 N5 S7,0,69.012,44.605,25.762,26.773,0.000000 ,0.994234 ,
2351,[610] N1 N2 N5 S5 N2 N5 S5 N2 N5 N3 S7,1,69.037,44.63,25.787,26.798,0.000001 ,0.994235 ,
2352,[611] N1 N2 N5 S5 N2 N5 S5 N2 N5 N3 S3,1,69.054,44.647,25.804,26.815,0.000001 ,0.994235 ,
2353,[665] N1 N2 N5 N3 S7 N5 N2 S5 N5 N2 N1 S8,0,69.065,44.658,25.815,26.826,0.000000 ,0.994236 ,
2353,[665] N1 N2 N5 S5 N2 N5 N3 S7 N5 N2 N1 S8,0,69.065,44.658,25.815,26.826,0.000000 ,0.994236 ,
2353,[665] N1 N2 N5 S5 N2 N5 S7 N3 N5 N2 N1 S8,0,69.065,44.658,25.815,26.826,0.000000 ,0.994236 ,
2353,[665] N1 N2 N5 S7 N3 N5 N2 S5 N5 N2 N1 S8,0,69.065,44.658,25.815,26.826,0.000000 ,0.994236 ,
2357,[669] N1 N2 N5 N3 S3 N6 N4 S1 N1 N2 S5,0,69.068,44.661,25.818,26.829,0.000004 ,0.994240 ,
2358,[516] N1 N2 N5 N3 S7 N5 S5 N2 N5 S5,3,69.082,44.675,25.832,26.843,0.000003 ,0.994248 ,
2358,[516] N1 N2 N5 S5 N2 N5 N3 S7 N5 S5,3,69.082,44.675,25.832,26.843,0.000003 ,0.994248 ,
2358,[516] N1 N2 N5 S5 N2 N5 S7 N3 N5 S5,3,69.082,44.675,25.832,26.843,0.000001 ,0.994248 ,
2358,[516] N1 N2 N5 S7 N3 N5 S5 N2 N5 S5,3,69.082,44.675,25.832,26.843,0.000001 ,0.994248 ,
2362,[563] N1 N2 N5 S5 N2 N5 N3 S7 N7 S3,2,69.095,44.688,25.845,26.856,0.000026 ,0.994275 ,
2363,[612] N1 N2 N5 N3 S3 N6 N4 S1 N2 N1 S8,1,69.131,44.724,25.881,26.892,0.000009 ,0.994301 ,
2363,[612] N1 N2 S1 N4 N6 S3 N3 N5 N2 N1 S8,1,69.131,44.724,25.881,26.892,0.000018 ,0.994301 ,
2365,[614] N1 N2 S1 N1 N2 N5 N3 S3 N6 N4 S2,1,69.132,44.725,25.882,26.893,0.000002 ,0.994303 ,
2366,[670] N1 N2 N5 N3 S3 N7 S7 N3 N5 S7,0,69.147,44.74,25.897,26.908,0.000004 ,0.994327 ,
2366,[670] N1 N2 N5 N3 S3 N7 S7 N5 N3 S7,0,69.147,44.74,25.897,26.908,0.000008 ,0.994327 ,
2366,[670] N1 N2 N5 N3 S7 N5 N3 S3 N7 S7,0,69.147,44.74,25.897,26.908,0.000008 ,0.994327 ,
2366,[670] N1 N2 N5 N3 S7 N7 S3 N3 N5 S7,0,69.147,44.74,25.897,26.908,0.000004 ,0.994327 ,
2370,[674] N1 N2 N5 N3 S3 N7 S7 N5 N3 S3,0,69.164,44.757,25.914,26.925,0.000004 ,0.994331 ,
2371,[675] N1 N2 N5 N3 S7 N5 N3 S2 N4 N6 S3,0,69.18,44.773,25.93,26.941,0.000002 ,0.994334 ,
2371,[564] N1 N2 N5 N3 S2 N4 S1 N1 N2 N5 S7,2,69.18,44.773,25.93,26.941,0.000002 ,0.994334 ,
2373,[520] N1 N2 N5 S7 N3 S3 N6 N4 S2,3,69.19,44.783,25.94,26.951,0.000026 ,0.994361 ,
2374,[676] N1 N2 N5 N3 S7 N5 N2 N1 S1 N4 S8,0,69.231,44.824,25.981,26.992,0.000002 ,0.994363 ,
2374,[676] N1 N2 N5 S7 N3 N5 N2 N1 S1 N4 S8,0,69.231,44.824,25.981,26.992,0.000000 ,0.994363 ,
2376,[565] N1 N2 N5 N3 S7 N5 N2 N1 S1 N2 S5,2,69.291,44.884,26.041,27.052,0.000007 ,0.994384 ,
2376,[565] N1 N2 N5 N3 S7 N5 N2 S1 N1 N2 S5,2,69.291,44.884,26.041,27.052,0.000007 ,0.994384 ,
2376,[565] N1 N2 N5 S7 N3 N5 N2 N1 S1 N2 S5,2,69.291,44.884,26.041,27.052,0.000002 ,0.994384 ,
2376,[565] N1 N2 N5 S7 N3 N5 N2 S1 N1 N2 S5,2,69.291,44.884,26.041,27.052,0.000002 ,0.994384 ,
2376,[565] N1 N2 S1 N1 N2 N5 N3 S7 N5 N2 S5,2,69.291,44.884,26.041,27.052,0.000003 ,0.994384 ,
2376,[565] N1 N2 S1 N1 N2 N5 S7 N3 N5 N2 S5,2,69.291,44.884,26.041,27.052,0.000001 ,0.994384 ,
2382,[615] N1 N2 N5 N3 S7 N5 N3 S7 N5 S5,1,69.363,44.956,26.113,27.124,0.000009 ,0.994394 ,
2382,[615] N1 N2 N5 S7 N3 N5 S7 N3 N5 S5,1,69.363,44.956,26.113,27.124,0.000001 ,0.994394 ,
2384,[678] N1 N2 N5 N3 S7 N5 N3 S7 N7 S3,0,69.376,44.969,26.126,27.137,0.000008 ,0.994401 ,
2385,[571] N1 N2 N5 N3 S7 N5 N3 S2 N4 S8,2,69.393,44.986,26.143,27.154,0.000007 ,0.994408 ,
2386,[521] N1 N2 S1 N4 S8 N1 N2 N5 N3 S7,3,69.41,45.003,26.16,27.171,0.000026 ,0.994434 ,
2387,[522] N1 N2 S1 N4 S8 N1 N2 N5 N3 S3,3,69.427,45.02,26.177,27.188,0.000013 ,0.994448 ,
2388,[679] N1 N2 N5 N3 S2 N4 S1 N2 N5 N3 S7,0,69.451,45.044,26.201,27.212,0.000000 ,0.994448 ,
2389,[680] N1 N2 N5 N3 S2 N4 S1 N2 N5 N3 S3,0,69.468,45.061,26.218,27.229,0.000000 ,0.994448 ,
2390,[681] N1 N2 N5 N3 S3 N6 N4 S1 N2 N5 S7,0,69.501,45.094,26.251,27.262,0.000001 ,0.994449 ,
2391,[523] N1 N2 N5 N3 S2 S3 N3 N5 N2 S5,3,69.51,45.103,26.26,27.271,0.000003 ,0.994459 ,
2391,[523] N1 N2 N5 N3 S3 S2 N3 N5 N2 S5,3,69.51,45.103,26.26,27.271,0.000007 ,0.994459 ,
2393,[572] N1 N2 N5 N3 S3 N7 S7 N5 N2 S5,2,69.543,45.136,26.293,27.304,0.000053 ,0.994525 ,
2393,[572] N1 N2 N5 S7 N7 S3 N3 N5 N2 S5,2,69.543,45.136,26.293,27.304,0.000013 ,0.994525 ,
2395,[682] N1 N2 N5 S5 N2 N5 N3 S3 N6 N4 S2,0,69.555,45.148,26.305,27.316,0.000000 ,0.994526 ,
2396,[617] N1 N2 N5 N3 S7 N5 N2 N1 S1 N2 N1 S1,1,69.594,45.187,26.344,27.355,0.000002 ,0.994530 ,
2396,[617] N1 N2 N5 S7 N3 N5 N2 N1 S1 N2 N1 S1,1,69.594,45.187,26.344,27.355,0.000001 ,0.994530 ,
2396,[617] N1 N2 S1 N1 N2 N5 N3 S7 N5 N2 N1 S1,1,69.594,45.187,26.344,27.355,0.000001 ,0.994530 ,
2396,[617] N1 N2 S1 N1 N2 N5 S7 N3 N5 N2 N1 S1,1,69.594,45.187,26.344,27.355,0.000000 ,0.994530 ,
2400,[621] N1 N2 N5 N3 S7 N7 S3 N6 N4 S2,1,69.596,45.189,26.346,27.357,0.000070 ,0.994600 ,
2401,[525] N1 N2 S5 N5 N3 S7 N5 N3 S7,3,69.642,45.235,26.392,27.403,0.000026 ,0.994626 ,
2402,[526] N1 N2 S5 N5 N3 S7 N5 N3 S3,3,69.659,45.252,26.409,27.42,0.000013 ,0.994640 ,
2403,[622] N1 N2 N5 N3 S7 N5 N2 S5 N5 N2 S5,1,69.714,45.307,26.464,27.475,0.000004 ,0.994648 ,
2403,[622] N1 N2 N5 S5 N2 N5 N3 S7 N5 N2 S5,1,69.714,45.307,26.464,27.475,0.000002 ,0.994648 ,
2403,[622] N1 N2 N5 S5 N2 N5 S7 N3 N5 N2 S5,1,69.714,45.307,26.464,27.475,0.000001 ,0.994648 ,
2403,[622] N1 N2 N5 S7 N3 N5 N2 S5 N5 N2 S5,1,69.714,45.307,26.464,27.475,0.000001 ,0.994648 ,
2407,[683] N1 N2 N5 N3 S7 N5 N2 S1 N4 N6 S3,0,69.73,45.323,26.48,27.491,0.000008 ,0.994658 ,
2407,[683] N1 N2 N5 S7 N3 N5 N2 S1 N4 N6 S3,0,69.73,45.323,26.48,27.491,0.000002 ,0.994658 ,
2409,[527] N1 N2 N5 N3 S7 N5 N2 S5 N5 S7,3,69.759,45.352,26.509,27.52,0.000007 ,0.994671 ,
2409,[527] N1 N2 N5 N3 S7 N5 S5 N2 N5 S7,3,69.759,45.352,26.509,27.52,0.000003 ,0.994671 ,
2409,[527] N1 N2 N5 S5 N2 N5 S7 N3 N5 S7,3,69.759,45.352,26.509,27.52,0.000001 ,0.994671 ,
2409,[527] N1 N2 N5 S7 N3 N5 N2 S5 N5 S7,3,69.759,45.352,26.509,27.52,0.000002 ,0.994671 ,
2409,[527] N1 N2 N5 S7 N3 N5 S5 N2 N5 S7,3,69.759,45.352,26.509,27.52,0.000001 ,0.994671 ,
2414,[574] N1 N2 N5 N3 S3 N6 N4 S1 N2 S5,2,69.78,45.373,26.53,27.541,0.000026 ,0.994750 ,
2414,[574] N1 N2 S1 N4 N6 S3 N3 N5 N2 S5,2,69.78,45.373,26.53,27.541,0.000053 ,0.994750 ,
2416,[576] N1 N2 N5 N3 S2 S3 N3 N5 N2 N1 S1,2,69.813,45.406,26.563,27.574,0.000003 ,0.994760 ,
2416,[576] N1 N2 N5 N3 S3 S2 N3 N5 N2 N1 S1,2,69.813,45.406,26.563,27.574,0.000007 ,0.994760 ,
2418,[532] N1 S1 N4 N6 S3 N3 N5 N2 N1 S1,3,69.829,45.422,26.579,27.59,0.000053 ,0.994812 ,
2419,[626] N1 N2 N5 N3 S3 N7 S7 N5 N2 N1 S1,1,69.846,45.439,26.596,27.607,0.000018 ,0.994834 ,
2419,[626] N1 N2 N5 S7 N7 S3 N3 N5 N2 N1 S1,1,69.846,45.439,26.596,27.607,0.000004 ,0.994834 ,
2421,[628] N1 N2 N5 N3 S7 N5 N2 N1 S8 N4 S2,1,69.862,45.455,26.612,27.623,0.000018 ,0.994856 ,
2421,[628] N1 N2 N5 S7 N3 N5 N2 N1 S8 N4 S2,1,69.862,45.455,26.612,27.623,0.000004 ,0.994856 ,
2423,[578] N1 N2 N5 N3 S3 N6 N4 S8 N1 N2 S1,2,69.88,45.473,26.63,27.641,0.000013 ,0.994870 ,
2424,[579] N1 N2 N5 N3 S7 N5 N2 S1 N4 S8,2,69.943,45.536,26.693,27.704,0.000026 ,0.994903 ,
2424,[579] N1 N2 N5 S7 N3 N5 N2 S1 N4 S8,2,69.943,45.536,26.693,27.704,0.000007 ,0.994903 ,
2426,[685] N1 N2 N5 N3 S7 N5 N2 S5 N5 N2 N1 S1,0,70.017,45.61,26.767,27.778,0.000000 ,0.994903 ,
2426,[685] N1 N2 N5 S5 N2 N5 N3 S7 N5 N2 N1 S1,0,70.017,45.61,26.767,27.778,0.000000 ,0.994903 ,
2426,[685] N1 N2 N5 S5 N2 N5 S7 N3 N5 N2 N1 S1,0,70.017,45.61,26.767,27.778,0.000000 ,0.994903 ,
2426,[685] N1 N2 N5 S7 N3 N5 N2 S5 N5 N2 N1 S1,0,70.017,45.61,26.767,27.778,0.000000 ,0.994903 ,
2430,[581] N1 N2 N5 N3 S2 N4 S8 N1 N2 N5 N3 S2,2,70.031,45.624,26.781,27.792,0.000002 ,0.994905 ,
2431,[630] N1 N2 N5 S7 N3 N5 S7 N3 N5 S7,1,70.04,45.633,26.79,27.801,0.000001 ,0.994906 ,
2432,[689] N1 N2 N5 N3 S7 N5 N2 N1 S1 N4 S2,0,70.065,45.658,26.815,27.826,0.000002 ,0.994909 ,
2432,[689] N1 N2 N5 S7 N3 N5 N2 N1 S1 N4 S2,0,70.065,45.658,26.815,27.826,0.000000 ,0.994909 ,
2434,[631] N1 N2 N5 N3 S3 N6 N4 S1 N1 N2 S1,1,70.083,45.676,26.833,27.844,0.000009 ,0.994948 ,
2434,[631] N1 N2 N5 N3 S3 N6 N4 S1 N2 N1 S1,1,70.083,45.676,26.833,27.844,0.000009 ,0.994948 ,
2434,[631] N1 N2 S1 N1 N2 N5 N3 S3 N6 N4 S1,1,70.083,45.676,26.833,27.844,0.000004 ,0.994948 ,
2434,[631] N1 N2 S1 N4 N6 S3 N3 N5 N2 N1 S1,1,70.083,45.676,26.833,27.844,0.000018 ,0.994948 ,
2438,[533] N1 N2 N5 S7 N3 S3 N6 N4 S1,3,70.141,45.734,26.891,27.902,0.000053 ,0.995001 ,
2439,[635] N1 N2 N5 N3 S2 N4 S1 N1 N2 N5 N3 S2,1,70.234,45.827,26.984,27.995,0.000001 ,0.995001 ,
2440,[534] N1 N2 N5 N3 S7 N5 N2 S1 N1 N2 S1,3,70.306,45.899,27.056,28.067,0.000002 ,0.995006 ,
2440,[534] N1 N2 N5 S7 N3 N5 N2 S1 N1 N2 S1,3,70.306,45.899,27.056,28.067,0.000000 ,0.995006 ,
2440,[534] N1 N2 S1 N1 N2 N5 N3 S7 N5 N2 S1,3,70.306,45.899,27.056,28.067,0.000002 ,0.995006 ,
2440,[534] N1 N2 S1 N1 N2 N5 S7 N3 N5 N2 S1,3,70.306,45.899,27.056,28.067,0.000000 ,0.995006 ,
2444,[582] N1 N2 N5 N3 S2 N4 N6 S3 N3 S7,2,70.364,45.957,27.114,28.125,0.000053 ,0.995111 ,
2444,[582] N1 N2 N5 N3 S3 N6 N4 S2 N3 S7,2,70.364,45.957,27.114,28.125,0.000053 ,0.995111 ,
2446,[584] N1 N2 N5 N3 S3 N6 N4 S2 N3 S3,2,70.381,45.974,27.131,28.142,0.000026 ,0.995137 ,
2447,[538] N1 N2 S1 N1 N2 N5 N3 S7 N5 N3 S2,3,70.39,45.983,27.14,28.151,0.000001 ,0.995138 ,
2448,[691] N1 N2 N5 N3 S3 N6 N4 S8 N1 N2 N5 S5,0,70.409,46.002,27.159,28.17,0.000000 ,0.995139 ,
2449,[539] N1 N2 N5 N3 S7 N5 N3 S3 S2,3,70.44,46.033,27.19,28.201,0.000013 ,0.995152 ,
2450,[636] N1 N2 N5 N3 S7 N5 N2 N1 S1 N2 N1 S4,1,70.478,46.071,27.228,28.239,0.000004 ,0.995160 ,
2450,[636] N1 N2 N5 S7 N3 N5 N2 N1 S1 N2 N1 S4,1,70.478,46.071,27.228,28.239,0.000001 ,0.995160 ,
2450,[636] N1 N2 S1 N1 N2 N5 N3 S7 N5 N2 N1 S4,1,70.478,46.071,27.228,28.239,0.000002 ,0.995160 ,
2450,[636] N1 N2 S1 N1 N2 N5 S7 N3 N5 N2 N1 S4,1,70.478,46.071,27.228,28.239,0.000001 ,0.995160 ,
2454,[692] N1 N2 N5 S5 N2 N5 N3 S3 N6 N4 S1,0,70.506,46.099,27.256,28.267,0.000001 ,0.995161 ,
2455,[640] N1 N2 N5 N3 S7 N7 S3 N6 N4 S1,1,70.547,46.14,27.297,28.308,0.000141 ,0.995302 ,
2456,[540] N1 N2 N5 N3 S3 N7 S7 N5 N2 S1,3,70.558,46.151,27.308,28.319,0.000026 ,0.995335 ,
2456,[540] N1 N2 N5 S7 N7 S3 N3 N5 N2 S1,3,70.558,46.151,27.308,28.319,0.000007 ,0.995335 ,
2458,[585] N1 N2 N5 N3 S7 N7 S3 N3 S7,2,70.56,46.153,27.31,28.321,0.000211 ,0.995546 ,
2459,[586] N1 N2 N5 N3 S3 N7 S7 N3 S3,2,70.577,46.17,27.327,28.338,0.000211 ,0.995757 ,
2460,[542] N1 N2 N5 N3 S3 N7 S7 N5 N3 S2,3,70.642,46.235,27.392,28.403,0.000013 ,0.995770 ,
2461,[587] N1 N2 N5 N3 S2 S3 N3 N5 N2 N1 S4,2,70.697,46.29,27.447,28.458,0.000007 ,0.995790 ,
2461,[587] N1 N2 N5 N3 S3 S2 N3 N5 N2 N1 S4,2,70.697,46.29,27.447,28.458,0.000013 ,0.995790 ,
2463,[543] N1 N2 N5 N3 S3 N6 N4 S1 N1 S4,3,70.713,46.306,27.463,28.474,0.000053 ,0.995948 ,
2463,[543] N1 S1 N4 N6 S3 N3 N5 N2 N1 S4,3,70.713,46.306,27.463,28.474,0.000105 ,0.995948 ,
2465,[589] N1 N2 N5 N3 S7 N5 N2 S5 N5 N2 S1,2,70.729,46.322,27.479,28.49,0.000007 ,0.995960 ,
2465,[589] N1 N2 N5 S5 N2 N5 N3 S7 N5 N2 S1,2,70.729,46.322,27.479,28.49,0.000003 ,0.995960 ,
2465,[589] N1 N2 N5 S5 N2 N5 S7 N3 N5 N2 S1,2,70.729,46.322,27.479,28.49,0.000001 ,0.995960 ,
2465,[589] N1 N2 N5 S7 N3 N5 N2 S5 N5 N2 S1,2,70.729,46.322,27.479,28.49,0.000002 ,0.995960 ,
2469,[641] N1 N2 N5 N3 S3 N7 S7 N5 N2 N1 S4,1,70.73,46.323,27.48,28.491,0.000035 ,0.996004 ,
2469,[641] N1 N2 N5 S7 N7 S3 N3 N5 N2 N1 S4,1,70.73,46.323,27.48,28.491,0.000009 ,0.996004 ,
2471,[643] N1 N2 N5 N3 S2 N4 N6 S3 N3 N5 S5,1,70.774,46.367,27.524,28.535,0.000004 ,0.996013 ,
2471,[643] N1 N2 N5 N3 S3 N6 N4 S2 N3 N5 S5,1,70.774,46.367,27.524,28.535,0.000004 ,0.996013 ,
2473,[593] N1 N2 N5 N3 S7 N5 N2 S1 N4 S2,2,70.777,46.37,27.527,28.538,0.000026 ,0.996046 ,
2473,[593] N1 N2 N5 S7 N3 N5 N2 S1 N4 S2,2,70.777,46.37,27.527,28.538,0.000007 ,0.996046 ,
2475,[545] N1 N2 S1 N4 N6 S3 N3 N5 N2 S1,3,70.795,46.388,27.545,28.556,0.000026 ,0.996072 ,
2476,[595] N1 N2 S1 N1 N2 N5 N3 S3 N6 N4 S8,2,70.798,46.391,27.548,28.559,0.000003 ,0.996075 ,
2477,[645] N1 N2 N5 N3 S7 N5 N2 N1 S8 N4 S1,1,70.813,46.406,27.563,28.574,0.000018 ,0.996107 ,
2477,[645] N1 N2 N5 S7 N3 N5 N2 N1 S8 N4 S1,1,70.813,46.406,27.563,28.574,0.000004 ,0.996107 ,
2477,[596] N1 N2 N5 N3 S7 N5 N2 S5 N5 N3 S2,2,70.813,46.406,27.563,28.574,0.000003 ,0.996107 ,
2477,[596] N1 N2 N5 N3 S7 N5 S5 N2 N5 N3 S2,2,70.813,46.406,27.563,28.574,0.000003 ,0.996107 ,
2477,[596] N1 N2 N5 S5 N2 N5 N3 S7 N5 N3 S2,2,70.813,46.406,27.563,28.574,0.000002 ,0.996107 ,
2477,[596] N1 N2 N5 S7 N3 N5 N2 S5 N5 N3 S2,2,70.813,46.406,27.563,28.574,0.000001 ,0.996107 ,
2477,[596] N1 N2 N5 S7 N3 N5 S5 N2 N5 N3 S2,2,70.813,46.406,27.563,28.574,0.000001 ,0.996107 ,
2484,[647] N1 N2 N5 N3 S7 N5 N2 N1 S1 N2 N5 S5,1,70.835,46.428,27.585,28.596,0.000001 ,0.996109 ,
2484,[647] N1 N2 N5 N3 S7 N5 N2 S1 N1 N2 N5 S5,1,70.835,46.428,27.585,28.596,0.000001 ,0.996109 ,
2484,[647] N1 N2 N5 S7 N3 N5 N2 N1 S1 N2 N5 S5,1,70.835,46.428,27.585,28.596,0.000000 ,0.996109 ,
2484,[647] N1 N2 N5 S7 N3 N5 N2 S1 N1 N2 N5 S5,1,70.835,46.428,27.585,28.596,0.000000 ,0.996109 ,
2488,[693] N1 N2 N5 N3 S7 N5 N2 S5 N5 N2 N1 S4,0,70.901,46.494,27.651,28.662,0.000001 ,0.996111 ,
2488,[693] N1 N2 N5 S5 N2 N5 N3 S7 N5 N2 N1 S4,0,70.901,46.494,27.651,28.662,0.000000 ,0.996111 ,
2488,[693] N1 N2 N5 S5 N2 N5 S7 N3 N5 N2 N1 S4,0,70.901,46.494,27.651,28.662,0.000000 ,0.996111 ,
2488,[693] N1 N2 N5 S7 N3 N5 N2 S5 N5 N2 N1 S4,0,70.901,46.494,27.651,28.662,0.000000 ,0.996111 ,
2492,[546] N1 N2 N5 N3 S2 N4 S1 N2 N5 N3 S2,3,70.946,46.539,27.696,28.707,0.000001 ,0.996112 ,
2493,[651] N1 N2 N5 N3 S3 N6 N4 S1 N2 N1 S4,1,70.967,46.56,27.717,28.728,0.000018 ,0.996165 ,
2493,[651] N1 N2 S1 N4 N6 S3 N3 N5 N2 N1 S4,1,70.967,46.56,27.717,28.728,0.000035 ,0.996165 ,
2495,[653] N1 N2 N5 N3 S3 N7 S7 N3 N5 S5,1,70.97,46.563,27.72,28.731,0.000018 ,0.996200 ,
2495,[653] N1 N2 N5 N3 S7 N7 S3 N3 N5 S5,1,70.97,46.563,27.72,28.731,0.000018 ,0.996200 ,
2497,[547] N1 N2 N5 N3 S2 N4 S1 N1 N2 N5 S5,3,71.003,46.596,27.753,28.764,0.000001 ,0.996201 ,
2498,[697] N1 N2 N5 N3 S7 N5 N3 S7 N5 N2 S1,0,71.01,46.603,27.76,28.771,0.000001 ,0.996202 ,
2498,[697] N1 N2 N5 S7 N3 N5 S7 N3 N5 N2 S1,0,71.01,46.603,27.76,28.771,0.000000 ,0.996202 ,
2500,[699] N1 N2 N5 N3 S2 N4 S8 N1 N2 N5 N3 S7,0,71.036,46.629,27.786,28.797,0.000000 ,0.996202 ,
2501,[700] N1 N2 N5 N3 S2 N4 S8 N1 N2 N5 N3 S3,0,71.053,46.646,27.803,28.814,0.000000 ,0.996203 ,
2502,[701] N1 N2 N5 N3 S3 N6 N4 S8 N1 N2 N5 S7,0,71.086,46.679,27.836,28.847,0.000000 ,0.996203 ,
2503,[702] N1 N2 N5 N3 S7 N5 N3 S7 N5 N3 S2,0,71.094,46.687,27.844,28.855,0.000000 ,0.996204 ,
2504,[548] N1 N2 N5 S5 N2 N1 S1 N2 N5 N3 S7,3,71.114,46.707,27.864,28.875,0.000002 ,0.996217 ,
2504,[548] N1 N2 N5 S5 N2 S1 N1 N2 N5 N3 S7,3,71.114,46.707,27.864,28.875,0.000001 ,0.996217 ,
2504,[548] N1 N2 S1 N1 N2 N5 S5 N2 N5 N3 S7,3,71.114,46.707,27.864,28.875,0.000001 ,0.996217 ,
2504,[548] N1 N2 S5 N5 N2 N1 S1 N2 N5 N3 S7,3,71.114,46.707,27.864,28.875,0.000007 ,0.996217 ,
2504,[548] N1 N2 S5 N5 N2 S1 N1 N2 N5 N3 S7,3,71.114,46.707,27.864,28.875,0.000003 ,0.996217 ,
2509,[553] N1 N2 N5 S5 N2 N1 S1 N2 N5 N3 S3,3,71.131,46.724,27.881,28.892,0.000001 ,0.996223 ,
2509,[553] N1 N2 N5 S5 N2 S1 N1 N2 N5 N3 S3,3,71.131,46.724,27.881,28.892,0.000000 ,0.996223 ,
2509,[553] N1 N2 S1 N1 N2 N5 S5 N2 N5 N3 S3,3,71.131,46.724,27.881,28.892,0.000000 ,0.996223 ,
2509,[553] N1 N2 S5 N5 N2 N1 S1 N2 N5 N3 S3,3,71.131,46.724,27.881,28.892,0.000003 ,0.996223 ,
2509,[553] N1 N2 S5 N5 N2 S1 N1 N2 N5 N3 S3,3,71.131,46.724,27.881,28.892,0.000002 ,0.996223 ,
2514,[601] N1 N2 N5 N3 S7 N5 N2 N1 S1 N2 N1 S8,2,71.142,46.735,27.892,28.903,0.000003 ,0.996230 ,
2514,[601] N1 N2 N5 S7 N3 N5 N2 N1 S1 N2 N1 S8,2,71.142,46.735,27.892,28.903,0.000001 ,0.996230 ,
