#,Pattern,Time (msec),,,,Probability,Cumulative,
,,Absolute,vs. best,vs. mean,vs. median,,,
167,N1 N2 N5 N3 S3 S2 S1,947366.6667,20800,7000.773096,8000,1 / 2048,0.822280884,0.000488281
168,N1 N2 S1 N1 N2 S1 N1 N2 S5,947466.6667,20900,7100.773096,8100,1 / 32768,0.822311401,3.05176E-05
169,N1 N2 S1 N4 S8 N1 N2 S1,947500,20933.33333,7134.106429,8133.333333,1 / 2048,0.822799683,0.000488281
170,N1 N2 S5 S4 N1 N2 N5 S5,947533.3333,20966.66667,7167.439763,8166.666667,1 / 1024,0.823776245,0.000976563
171,N1 N2 N5 S7 N7 S3 S2,947600,21033.33333,7234.106429,8233.333333,1 / 512,0.82572937,0.001953125
172,N1 N2 S1 S2 N3 N5 N2 N1 S4,947633.3333,21066.66667,7267.439763,8266.666667,1 / 4096,0.825973511,0.000244141
173,N1 N2 N5 N3 S2 S1 N2 N1 S4,947666.6667,21100,7300.773096,8300,1 / 4096,0.826217651,0.000244141
174,N1 N2 S5 N5 N2 N1 S4 S5,947666.6667,21100,7300.773096,8300,1 / 256,0.830123901,0.00390625
175,N1 N2 N5 S5 N2 N1 S4 S5,947700,21133.33333,7334.106429,8333.333333,1 / 1024,0.831100464,0.000976563
176,N1 N2 N5 S5 S4 N1 N2 S5,947700,21133.33333,7334.106429,8333.333333,1 / 1024,0.832077026,0.000976563
177,N1 S8 N4 S1 N1 N2 N5 S5,947700,21133.33333,7334.106429,8333.333333,1 / 2048,0.832565308,0.000488281
178,N1 S8 N4 S2 N3 N5 N2 S1,947766.6667,21200,7400.773096,8400,1 / 1024,0.83354187,0.000976563
179,N1 N2 S1 N4 N6 S3 S2,947800,21233.33333,7434.106429,8433.333333,1 / 256,0.83744812,0.00390625
180,N1 S1 N4 S8 N1 N2 N5 S5,948066.6667,21500,7700.773096,8700,1 / 2048,0.837936401,0.000488281
181,N1 S1 N2 N1 S1 N4 N6 S3,948100,21533.33333,7734.106429,8733.333333,1 / 512,0.839889526,0.001953125
182,N1 N2 S5 N5 N3 S7 S6,948166.6667,21600,7800.773096,8800,1 / 512,0.841842651,0.001953125
183,N1 S8 N4 S1 N2 N5 N3 S2,948200,21633.33333,7834.106429,8833.333333,1 / 2048,0.842330933,0.000488281
184,N1 S4 S5 N2 N5 N3 S7,948200,21633.33333,7834.106429,8833.333333,1 / 256,0.846237183,0.00390625
185,N1 N2 N5 S5 N2 N5 S7 S6,948233.3333,21666.66667,7867.439763,8866.666667,1 / 8192,0.846359253,0.00012207
186,N1 N2 S5 S4 N1 N2 N5 S7,948233.3333,21666.66667,7867.439763,8866.666667,1 / 1024,0.847335815,0.000976563
187,N1 N2 N5 S5 N2 N5 S5 S4,948266.6667,21700,7900.773096,8900,1 / 8192,0.847457886,0.00012207
188,N1 S4 S5 N2 N5 N3 S3,948300,21733.33333,7934.106429,8933.333333,1 / 512,0.849411011,0.001953125
189,N1 N2 S1 N1 N2 S1 N4 S8,948366.6667,21800,8000.773096,9000,1 / 8192,0.849533081,0.00012207
190,N1 S1 N2 N5 S7 N3 S3,948400,21833.33333,8034.106429,9033.333333,1 / 2048,0.850021362,0.000488281
191,N1 S8 N4 S1 N1 N2 N5 S7,948400,21833.33333,8034.106429,9033.333333,1 / 2048,0.850509644,0.000488281
192,N1 N2 N5 N3 S2 S1 N1 N2 S5,948633.3333,22066.66667,8267.439763,9266.666667,1 / 8192,0.850631714,0.00012207
193,N1 S1 N4 N6 S3 N7 S7,948733.3333,22166.66667,8367.439763,9366.666667,1 / 32,0.881881714,0.03125
194,N1 S1 N4 S8 N1 N2 N5 S7,948733.3333,22166.66667,8367.439763,9366.666667,1 / 2048,0.882369995,0.000488281
195,N1 N2 S1 N4 S2 N3 S3,948833.3333,22266.66667,8467.439763,9466.666667,1 / 1024,0.883346558,0.000976563
196,N1 S8 N4 S2 N3 N5 N2 S5,948866.6667,22300,8500.773096,9500,1 / 1024,0.88432312,0.000976563
197,N1 N2 S5 N5 N2 S5 N5 S7,948866.6667,22300,8500.773096,9500,1 / 4096,0.884567261,0.000244141
198,N1 N2 N5 N3 S2 S1 N2 N5 S5,948900,22333.33333,8534.106429,9533.333333,1 / 16384,0.884628296,6.10352E-05
199,N1 N2 S1 N4 S8 N1 N2 S5,949000,22433.33333,8634.106429,9633.333333,1 / 1024,0.885604858,0.000976563
200,N1 N2 N5 S5 N2 N5 S5 S6,949100,22533.33333,8734.106429,9733.333333,1 / 16384,0.885665894,6.10352E-05
201,N1 N2 S1 N4 S2 N3 S7,949166.6667,22600,8800.773096,9800,1 / 512,0.887619019,0.001953125
202,N1 S1 N2 N5 N3 S2 N4 S8,949166.6667,22600,8800.773096,9800,1 / 8192,0.887741089,0.00012207
203,N1 N2 N5 N3 S2 S1 N4 S8,949200,22633.33333,8834.106429,9833.333333,1 / 2048,0.88822937,0.000488281
204,N1 N2 N5 N3 S7 S6 S5,949333.3333,22766.66667,8967.439763,9966.666667,1 / 128,0.89604187,0.0078125
205,N1 N2 S5 N5 N2 S1 N1 N2 S1,949400,22833.33333,9034.106429,10033.33333,1 / 16384,0.896102905,6.10352E-05
206,N1 N2 S1 N1 N2 S5 N5 N2 S1,949433.3333,22866.66667,9067.439763,10066.66667,1 / 16384,0.89616394,6.10352E-05
207,N1 N2 S1 N1 N2 N5 S5 N2 S1,949466.6667,22900,9100.773096,10100,1 / 65536,0.896179199,1.52588E-05
208,N1 N2 N5 S5 N2 S1 N1 N2 S1,949500,22933.33333,9134.106429,10133.33333,1 / 65536,0.896194458,1.52588E-05
209,N1 N2 S1 N1 N2 S1 N4 S2,949533.3333,22966.66667,9167.439763,10166.66667,1 / 8192,0.896316528,0.00012207
210,N1 N2 N5 N3 S2 S1 N2 N5 S7,949600,23033.33333,9234.106429,10233.33333,1 / 16384,0.896377563,6.10352E-05
211,N1 N2 S1 N1 N2 S5 N5 N3 S2,949666.6667,23100,9300.773096,10300,1 / 32768,0.896408081,3.05176E-05
212,N1 N2 S5 N5 N3 S3 S2,949800,23233.33333,9434.106429,10433.33333,1 / 2048,0.896896362,0.000488281
213,N1 S8 N4 N6 S3 N3 S7,949833.3333,23266.66667,9467.439763,10466.66667,1 / 64,0.912521362,0.015625
214,N1 N2 N5 N3 S2 S3 N3 S2,949866.6667,23300,9500.773096,10500,1 / 8192,0.912643433,0.00012207
215,N1 N2 N5 S5 N2 N5 N3 S2 S1,950033.3333,23466.66667,9667.439763,10666.66667,1 / 16384,0.912704468,6.10352E-05
216,N1 S1 N2 N5 S5 N2 N5 N3 S2,950133.3333,23566.66667,9767.439763,10766.66667,1 / 32768,0.912734985,3.05176E-05
217,N1 N2 N5 N3 S2 S1 N4 S2,950366.6667,23800,10000.7731,11000,1 / 2048,0.913223267,0.000488281
